method,record,output_mode,warp,num_samples,num_obs_per_sample,num_outputs,num_input_leads,num_classes_true,num_clusters_pred,fit_runtime_sec,fit_runtime_min,total_runtime_sec,total_runtime_min,cpu_start_rss_mb,cpu_end_rss_mb,cpu_peak_rss_mb,cpu_peak_delta_mb,ru_maxrss_start_mb,ru_maxrss_end_mb,gpu_peak_allocated_mb,cluster_labels_path
online,107,single-output,off,2137,90,1,1,2,11,197.9983417302363,3.299972362170605,198.10255642946765,3.301709273824461,1638.10477782754,1920.3015515570933,2092.8682403268467,431.4167219243839,1638.10477782754,2092.8682403268467,0.0,
offline,107,single-output,off,2137,90,1,1,2,3,209.7060281259524,3.4951004687658735,209.7220118568457,3.495366864280762,3224.022706818364,3956.623362836883,4323.668989673821,917.6140670923436,3224.022706818364,4323.668989673821,0.0,
offline,107,multi-output,off,2137,90,2,2,2,6,376.2030428333765,6.270050713889608,376.2159932193622,6.270266553656037,4021.07672869874,4831.022819659102,5499.36573099104,1670.8572783298446,4021.07672869874,5499.36573099104,0.0,
offline,107,single-output,on,2137,90,1,1,2,3,440.90062692225257,7.348343782037543,440.92475801310064,7.34874596688501,3936.688522115331,4284.807568396253,4474.958270017302,475.37675405262337,3936.688522115331,4474.958270017302,0.0,
offline,107,multi-output,on,2137,90,2,2,2,6,1437.0761091048334,23.951268485080558,1437.102796234589,23.951713270576484,3346.749763038029,5003.134652793756,5943.305366472613,2350.4267841971423,3346.749763038029,5943.305366472613,0.0,
online,108,single-output,off,1763,90,1,1,5,9,154.36019957253478,2.57266999287558,154.441445716473,2.57402409527455,1659.5169987605789,1904.4663981944373,2038.0744083915044,334.020025492668,1659.5169987605789,2038.0744083915044,0.0,
offline,108,single-output,off,1763,90,1,1,5,8,383.2400301277761,6.387333835462935,383.26924056852425,6.387820676142071,3219.576805288347,3301.980674088923,3631.596149291227,824.0386880057613,3219.576805288347,3631.596149291227,0.0,
offline,108,multi-output,off,1763,90,2,2,5,2,0.0009999655772582,1.6666092954303335e-05,0.001,1.6666666666666667e-05,4027.081329541157,4239.043399835034,4552.6441635242645,784.0019092230782,4027.081329541157,4552.6441635242645,0.0,
offline,108,single-output,on,1763,90,1,1,5,8,1005.9104510514176,16.765174184190293,1005.9655058982404,16.766091764970675,3933.882942569505,3992.306704620404,4226.001752823996,584.2376205089805,3933.882942569505,4226.001752823996,0.0,
offline,108,multi-output,on,1763,90,2,2,5,2,394.86106568430137,6.581017761405023,394.86224917626856,6.581037486271143,3340.6231189958585,3558.2854632330623,4297.213969297221,1847.3212651603976,3340.6231189958585,4297.213969297221,0.0,
