record,method,fit_minutes,n_samples,n_true_clusters,n_pred_clusters,acc,ari,ami,nmi,homogeneity,completeness,v_measure,silhouette,dbscan_score,dbscan_eps,dbscan_min_samples,dbscan_retained_fraction,dbscan_n_clusters_no_noise,dec_k,dec_auto_k_silhouette
108,DEC,0.790731155872345,1763,5,2,0.9869540555870675,-0.0002020690565034633,0.003494827727765744,0.0071619372164711875,0.034072200808109125,0.0040015267571851115,0.007161937216471186,0.7736815810203552,,,,,,2,0.7736815810203552
108,HDP-GPC,nan,1763,5,2,0.9926262053318208,0.7588444595901775,0.6140858903390437,0.6161413279747652,0.580671789931504,0.6562259904957596,0.6161413279747652,0.16514720022678375,,,,,,,
109,CAE+DPGMM,0.7247973879178365,2532,3,16,0.9988151658767772,0.14674574720455233,0.22072648003558945,0.22441180465191288,0.9668915985479795,0.1269366560666994,0.22441180465191288,0.391463041305542,,,,,,,
109,CAE+DBSCAN,0.7298311392466227,2532,3,3,0.9842022116903634,0.12918875774979416,0.11491769297530308,0.11688719482330877,0.4448329963462761,0.06728352440715013,0.1168871948233088,0.3736487627029419,0.46628642082214355,0.31064506330562663,10.0,0.8996840442338072,2.0,,
109,DEC,1.1307289401690166,2532,3,2,0.9842022116903634,0.36748754342535606,0.26695736285960375,0.268609381909673,0.47480071744117547,0.1872796116862472,0.268609381909673,0.6680103540420532,,,,,,2,0.8934539556503296
109,HDP-GPC,nan,2532,3,8,0.9980252764612955,0.15540559101914633,0.2212646613799997,0.22435810068342832,0.9028207483259597,0.12809541216231168,0.2243581006834283,0.400437593460083,,,,,,,
111,CAE+DPGMM,0.6185726483662923,2124,2,18,1.0,0.0011586692929741944,0.005299288400407843,0.006236540921292393,1.00000000000002,0.003128024487004199,0.006236540921292392,0.21085257828235626,,,,,,,
111,CAE+DBSCAN,0.6018391688664754,2124,2,3,0.9995291902071564,0.012234093435419802,0.009047193775094468,0.009967463248016546,0.31945260381057444,0.005062714261391233,0.009967463248016546,0.5704206824302673,0.767070472240448,0.6920459117461971,5.0,0.9369114877589454,2.0,,
111,DEC,0.9415552695592244,2124,2,2,0.9995291902071564,-8.824933282878204e-06,-6.3375320827684715e-06,0.0009300990754418292,0.07951710859341718,0.00046778534340539475,0.000930099075441829,0.27562278509140015,,,,,,2,0.7548062801361084
111,HDP-GPC,nan,2124,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6884756684303284,,,,,,,
112,CAE+DPGMM,0.7835304101308187,2539,2,25,0.9992122883024813,0.0002304882235594925,0.0008633475907749038,0.0020519321055542604,0.41167241411681843,0.0010285293437696944,0.00205193210555426,0.08392175287008286,,,,,,,
112,CAE+DBSCAN,0.7239604353904724,2539,2,3,0.9992122883024813,0.029190427882478925,0.027994543777724538,0.029012794781689614,0.4796038890661029,0.014958852132114493,0.02901279478168961,0.2495983988046646,0.3947727680206299,0.8230437334641016,5.0,0.9531311539976368,2.0,,
112,DEC,1.1393579522768655,2539,2,2,0.9992122883024813,6.371508569371454e-05,-0.0007621918884605806,2.335308892093753e-05,0.0012545512324463731,1.1786243122655094e-05,2.3353088920937533e-05,0.19763527810573578,,,,,,2,0.22924090921878815
112,HDP-GPC,nan,2539,2,3,0.9992122883024813,-0.001438862018732166,-0.0005529070242294242,0.00044186341818874873,0.009291113224728894,0.0002263131692117077,0.00044186341818874873,0.09232166409492493,,,,,,,
113,CAE+DPGMM,0.5749061942100525,1794,2,19,1.0,0.0021039084571937944,0.018052753274470475,0.020444833738535874,0.999999999999973,0.01032799392862966,0.02044483373853587,-0.025698605924844742,,,,,,,
113,CAE+DBSCAN,0.5175738294919332,1794,2,3,0.9966555183946488,0.13080756159798065,0.08377567969261161,0.08614322307195939,0.3614457012814503,0.0488986049379537,0.08614322307195939,0.4238033592700958,0.5251721739768982,0.6316740727606391,5.0,0.9665551839464883,2.0,,
113,DEC,0.8238500157992045,1794,2,2,0.9966555183946488,-3.7067367321130775e-06,-0.000875395683747079,1.3118570902827287e-06,2.0945390536365837e-05,6.771337528751797e-07,1.3118570902827287e-06,0.3888538181781769,,,,,,2,0.4025070071220398
